full_text,clean_text,sentiment
Jujur gue jadi bingung mau mihak siapa. RUU TNI yg banyak dikira nanti indonesia bakal kayak zaman seoharto lagi efisiensi yg dinilai banyak mencetak pengangguran belum lagi masalah 02 anak abah lah korupsi masalah ipl 2.3. Kyk cape anj ga kelar2 muter2 trus.,jujur gue bingung mihak ruu tni yg indonesia kayak zaman seoharto efisiensi yg nilai cetak anggur anak abah korupsi ipl kyk cape anj ga kelar muter trus,0
Tapi RUU TNI itu di kebut loh ibu Ketua @DPR_RI @puanmaharani_ri yang benar saja bicara ya ibu ,ruu tni kebut loh ketua bicara ya,1
@detikcom Giliran RUU TNI aja cepet apalah dpr ini gak guna. Bubarin aja gimana?,gilir ruu tni aja cepet apa dpr gak bubarin aja gimana,1
Menkum menanggapi kekhawatiran mahasiswa tentang dwifungsi TNI dalam RUU yang sedang dibahas. #kanwilkemenkumjogja #kanwilkemenkumdiy #kanwilkemenkumyogyakarta #KementerianHukum #LayananHukumMakinMudah #AksiNyataSejahtera #CapaianKemenkum,menkum tanggap khawatir mahasiswa dwifungsi tni ruu bahas,1
Sebelumnya Menkum berdialog dengan mahasiswa Universitas Trisakti di Gerbang Pancasila DPR menyampaikan penolakan terhadap RUU TNI. #kanwilkemenkumjogja #kanwilkemenkumdiy #kanwilkemenkumyogyakarta #KementerianHukum #LayananHukumMakinMudah #AksiNyataSejahtera #CapaianKemenkum,menkum dialog mahasiswa universitas trisakti gerbang pancasila dpr tolak ruu tni,0
Sebelumnya Menkum berdialog dengan mahasiswa Universitas Trisakti di Gerbang Pancasila DPR menyampaikan penolakan terhadap RUU TNI. #kanwilkemenkumjogja #kanwilkemenkumdiy #kanwilkemenkumyogyakarta #KementerianHukum #LayananHukumMakinMudah #AksiNyataSejahtera #CapaianKemenkum,menkum dialog mahasiswa universitas trisakti gerbang pancasila dpr tolak ruu tni,0
suda lama tidak menghina pemerintah,suda hina perintah,0
@ManusiaKos72934 @wdtu @CNNIndonesia Dia gk ngehormati anak2 yg keracunan MBG. Dia gk warga sipil yg dia bunuh di Timor Leste. Dia dan wakilnya gk menghormati konstitusi. Dia gk menghormati kedaulatan rakyat yang gk pengen RUU TNI disahkan. Buka mata lu dan liat semua perbuatan dia gk sebanding sm perbuatan anak itu,gk ngehormati anak yg racun mbg gk warga sipil yg bunuh timor leste wakil gk hormat konstitusi gk hormat daulat rakyat gk ken ruu tni sah buka mata lu liat buat gk banding sm buat anak,0
RUU TNI harus dibatalkan konsepsi kembalu ke UUD45 Asli Sama Sekali Berbeda dengan Mengembalukan Dwi Fungsi Militer eksistensi TNI memang dibutuhkan jika negara ini berdaulat Tapi bukan demikian caranya untuk mengembalikan MARTABAT TNI dinegeri ini Bukan kita anti Militer ada,ruu tni batal konsepsi kembalu uud asli beda mengembalukan dwi fungsi militer eksistensi tni butuh negara daulat kembali martabat tni negeri anti militer,0
‼️ Rekap Kasus Penangkapan Pemerintah Akibat Kritik di Medsos Mahasiswi ITB (2025): Ditangkap krn unggah meme satir Prabowo-Jokowi berciuman kritik RUU TNI dijerat Pasal 45A UU ITE padahal meme adlh kebebasan berekspresi. Daniel Frits (2025): Aktivis Karimunjawa ,rekap tangkap perintah akibat kritik medsos mahasiswi itb tangkap krn unggah meme satir prabowojokowi cium kritik ruu tni jerat pasal uu ite meme adlh bebas ekspres daniel frits aktivis karimunjawa,0
@magentajingga_ @tanyarlfes Iyyya ih orang indo sukanya munafik benci orgnya tp dicari kesalahannya kan tolol yak sumpah pantesan indo kagak maju maju anjerrr,iyyya ih orang indo suka munafik benci orgnya tp cari salah tolol yak sumpah pantesan indo kagak maju maju anjerrr,0
@kochengfs JUJUR LO BUZZER NYA WOWO KAN? GAK ADA YG BENCI BOBBY TP TREAT BOBBY TUH TERLALU BERLEBIHAN KAN HARUSNYA DANA BOBBY YG LUXURY ITU BUAT STRAY CAT DILUAR SANA AJAH DAHLAH STOP BIKIN ORANG BENCI ANIMAL LOVERS Y!!!,jujur lo buzzer nya wowo gak yg benci bobby tp treat bobby tuh dana bobby yg luxury stray cat luar ajah dah stop bikin orang benci animal lovers,1
Revisi RUU TNI langkah strategis memperkuat memperkuat profesionalisme. https://t.co/F1myBzf89v,revisi ruu tni langkah strategis kuat kuat profesionalisme,1
@Tan_Mar3M tampaknya Owo sdh mengikuti gurunya Mulai memakai pembungkaman suara2 kritis dgn menggunakan hukum Buktinyakabar mahasiswi ITB yg bikin meme Owi kiss Owo sbg bentuk kritik thd RUU TNI subtansinya Owi Owo mesra dan saling melanjutkan RUU yg tdk berpihak ke rakyat merusak REFORMASI,owo sdh ikut guru pakai bungkam suara kritis dgn hukum buktinyakabar mahasiswi itb yg bikin meme owi kiss owo sbg bentuk kritik thd ruu tni subtansinya owi owo mesra lanjut ruu yg tdk pihak rakyat rusak reformasi,0
CONGRATULATION GES! Rill uji coba bgt ini pak?,congratulation ges rill uji coba bgt,1
Tak ingin tergesa-gesa ndasmu. Itu RUU TNI aja dikebut kayak kejar setoran,tergesagesa ndasmu ruu tni aja kebut kayak kejar setor,0
@sayheyryta @delulutim Kak bole spill gak obatnya endo aku udh smpai ke usus terakhir cek ad 4/5 biji dan itu waktu aku umur 17 skrg blm cek lagj agak deg deg serrrr ,kak bole spill gak obat endo udh smpai usus cek ad biji umur skrg blm cek lagj deg deg serrrr,0
@raearenin @delulutim Bole nanya gak akupun ada kista endo dan sudah sampai ke usus dokter pun blg aku hrs cepet nikah pdhl aku dulu check up pd umur 17 takut bgt gbs hamil ,bole nanya gak aku kista endo usus dokter blg hrs cepet nikah pdhl check up pd umur takut bgt gbs hamil,0
